URL;Afhalen;Afleveren;Algemene voorwaarden;Basket;Bestellen;Customer service;Delivery;Klantenservice;Kom langs;Listing;Openingstijden;Ophalen;Order;Product;Shipment;Shipping;Terms & conditions;Terms and conditions;Thuiswinkel;Verzenden;Verzending;Winkel;Winkelmand;Winkelwagen
http://www.gazelle.nl;0;0;0;32;32;2;0;0;1;0;9;0;40;35;0;0;0;0;0;0;0;174;32;0
http://www.raamtekening.nl;0;0;148;455;48;0;0;0;0;0;0;0;320;1773;0;0;0;0;0;0;0;449;0;246
https://www.knijpertjes.nl;0;0;52;0;0;0;0;156;0;0;0;0;104;364;0;104;0;0;0;0;0;208;0;156
http://www.amazingcakes.nl;17;0;304;79;6308;0;0;4;0;0;679;8;6239;3650;0;0;0;0;0;117;5;33879;0;1128
https://www.trendyspeelgoed.nl;17;0;111;3010;84;0;0;763;1;0;6;0;2003;10896;0;1;0;0;0;37;168;1154;285;0
https://www.etsy.com/shop/jessiestyle;0;0;0;24;0;0;77;0;0;3376;0;0;15190;55;0;275;11;0;0;0;0;0;0;0
https://www.trendyspeelgoed.nl;17;0;111;3010;84;0;0;763;1;0;6;0;2003;10896;0;1;0;0;0;37;168;1154;285;0
http://www.breakingrocksclothing.com;0;0;0;0;0;0;31;0;0;1;0;0;408;2415;4;110;0;2;0;0;0;0;0;0
http://www.bakgoed.nl;244;7;237;0;12;0;0;0;0;0;0;11;2730;14794;0;404;0;0;0;227;1907;3365;0;2790
https://www.themakeupspot.nl;26;2;381;0;241;0;23;187;0;0;0;0;6901;20365;0;0;0;0;0;451;221;5045;366;4672
http://www.inglot.nl;0;0;235;26;228;0;224;114;0;0;2;1;1812;13755;0;446;0;0;0;1;559;1315;0;1087
https://www.johnbeerens.com;22;2;212;0;107;0;933;953;0;0;11;6;3676;44524;0;612;0;0;0;3;322;6049;1;5047
https://www.boozyshop.nl;0;0;216;0;108;0;0;216;0;0;0;0;2148;9136;0;108;0;0;0;0;216;291;108;183
http://www.lookx.com;0;0;1;0;0;122;6;1;0;0;0;0;3668;18430;0;0;0;0;1;2;0;533;0;532
https://makeupforyou.nl;0;0;52;0;107;0;0;367;0;0;0;0;6797;6701;0;417;0;0;0;159;52;535;52;483
https://www.fietsenwinkel.nl;8;0;244;466;44;0;52;3773;16;0;30;14;2171;32856;0;932;0;0;1217;0;0;91903;236;2
https://www.afuture.nl;45;1;41;0;188;0;9;176;0;0;5;0;43;1404;5;0;0;0;0;24;4;18;0;16
http://www.maxict.nl;1832;0;1825;1843;1821;5419;12;2758;0;3933;3;0;69760;108091;48;42;0;0;3617;3870;21;25655;0;20217
https://www.megekko.nl;1;1;6;0;35;0;0;0;0;0;64;0;980;1665;0;0;0;0;0;7;69;627;559;62
https://www.superwinkel.nl;165;0;372;8;1000;1;0;4441;0;0;0;22;1083;62950;0;0;0;0;2255;88;0;36364;2;1088
https://www.acesdirect.nl;6;1;267;224;248;0;0;778;0;0;0;0;453;38715;0;0;0;0;0;259;10;709;448;257
http://www.bbeachi.nl;0;0;0;114;0;0;0;0;0;0;0;4;53;292;0;0;0;0;0;0;0;159;0;36
https://www.simyo.nl;0;0;8;0;35;0;0;103;0;1;0;0;647;560;0;0;0;0;0;5;0;0;0;0
http://www.onlinemakeup.nl;2;0;1255;0;563;0;1248;4989;0;0;0;1;5544;85656;0;674;0;0;0;5;3841;10548;3;8601
https://www.realdutchfood.com;0;0;117;0;2244;4;0;830;0;0;0;0;713;12508;0;942;0;1;0;244;134;532;6;393
http://www.123inkt.nl;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
http://www.inglot.nl;0;0;235;26;228;0;224;114;0;0;2;1;1812;13755;0;446;0;0;0;1;559;1315;0;1087
http://www.inglot.nl;0;0;235;26;228;0;224;114;0;0;2;1;1812;13755;0;446;0;0;0;1;559;1315;0;1087
http://www.gazelle.nl;0;0;0;11;11;0;0;0;0;0;0;0;21;20;0;0;0;0;0;0;0;33;11;0
